00C6	 0041 0045	
0132	 0049 004A	
0133	 0069 006A	
0153	 006F 0065	
A76D	 0069 0073	
E1DC	 00D1	
E42C	 0061 0364	
E5B8	 006D 0304	
E5DC	 00F1	
E665	 0070 0304	
E681	 0071 0304	
E682	 0071 0307	
E6E2	 0074 0301	
EADA	 017F 0074	
EBA2	 017F 0069	
EBA3	 017F 006C	
EBA6	 017F 017F	
EBA7	 017F 017F 0069	
EBE3	 006A 0308	
EEC4	 0063 006B	
EEC5	 0063 0074	
EEDC	 0074 007A	
EFA1	0061 0065	
F161	003B	
F1AC	003B	
F4F9	006C 006C	
F4FF	017F 0074	
F501	0063 0304	
F502	0063 0068	
F503	1EBD	
F504	0067 030A	
F505	0067 0304	
F506	0068 030A	
F507	0070 0304	
F50A	0064 0027	
F50B	006C 0027	
F50D	0071 0301 A76B	
F50E	0071 0301	
F50F	0071 0303	
F510	0072 0304	
F511	0073 0303	
F512	0074 0303	
F515	0065 0074	
F517	0063 0303	
F518	0072 0303	
F519	006D 0303	
F51E	017F 0142	
FB00	0066 0066	
FB01	0066 0069	
FB02	0066 006C	
FB03	0066 0066 0069	
FB04	0066 0066 006C	
FB06	0073 0074	
FEFF	0020	 # Byte order mark
